term,gene
AbSC_Pos_Bala_2023,Eef1g
AbSC_Pos_Bala_2023,Mob4
AbSC_Pos_Bala_2023,Rab11a
AbSC_Pos_Bala_2023,Smn1
AbSC_Pos_Bala_2023,Hnrnpk
AbSC_Pos_Bala_2023,Pbdc1
AbSC_Pos_Bala_2023,Eif4a3
AbSC_Pos_Bala_2023,Eif3i
AbSC_Pos_Bala_2023,Utp14a
AbSC_Pos_Bala_2023,Litaf
AbSC_Pos_Bala_2023,Ube2n
AbSC_Pos_Bala_2023,Psmd14
AbSC_Pos_Bala_2023,Ctnnb1
AbSC_Pos_Bala_2023,Anp32e
AbSC_Pos_Bala_2023,Actr10
AbSC_Pos_Bala_2023,Srsf3
AbSC_Pos_Bala_2023,Ube2b
AbSC_Pos_Bala_2023,Hmgcr
AbSC_Pos_Bala_2023,Sdf4
AbSC_Pos_Bala_2023,Ccdc59
AbSC_Pos_Bala_2023,Mri1
AbSC_Pos_Bala_2023,Pdcd5
AbSC_Pos_Bala_2023,Wbp4
AbSC_Pos_Bala_2023,Npdc1
AbSC_Pos_Bala_2023,Rrp1
AbSC_Pos_Bala_2023,Mapre1
AbSC_Pos_Bala_2023,Dhps
AbSC_Pos_Bala_2023,Eif6
AbSC_Pos_Bala_2023,Krtcap3
AbSC_Pos_Bala_2023,Tmed9
AbSC_Pos_Bala_2023,Psmd13
AbSC_Pos_Bala_2023,Pcbp2
AbSC_Pos_Bala_2023,Eno1
AbSC_Pos_Bala_2023,Dtymk
AbSC_Pos_Bala_2023,Rps21
AbSC_Pos_Bala_2023,Rnaseh2a
AbSC_Pos_Bala_2023,Tcea1
AbSC_Pos_Bala_2023,Baz1a
AbSC_Pos_Bala_2023,Luc7l3
AbSC_Pos_Bala_2023,Imp3
AbSC_Pos_Bala_2023,Rps27a
AbSC_Pos_Bala_2023,Snrpc
AbSC_Pos_Bala_2023,Naxd
AbSC_Pos_Bala_2023,Syncrip
AbSC_Pos_Bala_2023,Tsn
AbSC_Pos_Bala_2023,Ube2d2a
AbSC_Pos_Bala_2023,Manbal
AbSC_Pos_Bala_2023,Psma5
AbSC_Pos_Bala_2023,Psmb10
AbSC_Pos_Bala_2023,H2afz
AbSC_Pos_Bala_2023,Tmem128
AbSC_Pos_Bala_2023,Khdrbs1
AbSC_Pos_Bala_2023,Rala
AbSC_Pos_Bala_2023,Id2
AbSC_Pos_Bala_2023,Arhgdia
AbSC_Pos_Bala_2023,Rps29
AbSC_Pos_Bala_2023,Gnas
AbSC_Pos_Bala_2023,Rere
