"","x"
"924","Gm28590"
"925","Dpp10"
"926","Gm28928"
"927","1700121L03Rik"
"928","Actr3"
"929","Gm28706"
"930","Slc35f5"
"931","Gpr39"
"932","Lypd1"
"933","Nckap5"
"934","4930599A14Rik"
"935","Mgat5"
"936","Tmem163"
"937","Acmsd"
"938","2900009J06Rik"
"939","Ccnt2"
"940","Map3k19"
"941","Rab3gap1"
"942","Zranb3"
"943","Gm28800"
"944","R3hdm1"
"945","Ubxn4"
"946","Lct"
"947","Mcm6"
"948","Dars"
"949","Cxcr4"
"950","Gm26686"
"951","Thsd7b"
"952","Gm16081"
"953","Cd55b"
"954","Gm15674"
"955","Gm15675"
"956","Cd55"
"957","Gm16083"
"958","Zp3r"
"959","C4bp"
"960","Gm29427"
"961","Pfkfb2"
"962","Yod1"
"963","AA986860"
"964","Gm28857"
"965","Gm28856"
"966","Fcamr"
"967","Gm15848"
"968","Pigr"
"969","Fcmr"
"970","Il24"
"971","Il20"
"972","Il19"
"973","Il10"
"974","Mapkapk2"
"975","Dyrk3"
"976","Eif2d"
"977","Rassf5"
"978","Ikbke"
"979","Gm28914"
"980","Gm28913"
"981","Srgap2"
"982","Fam72a"
"983","Avpr1b"
"984","Ctse"
"985","Rab7b"
"986","Slc26a9"
"987","Pm20d1"
"988","Slc41a1"
"989","Rab29"
"990","Nucks1"
"991","Slc45a3"
"992","Elk4"
"993","Mfsd4"
"994","Gm26892"
"995","Cdk18"
"996","Gm29629"
"997","Lemd1"
"998","1700037F24Rik"
"999","Gm10188"
"1000","Gm29630"
"1001","Klhdc8a"
"1002","Nuak2"
"1003","F730311O21Rik"
"1004","Tmcc2"
"1005","Gm15849"
"1006","Dstyk"
"1007","Rbbp5"
"1008","Tmem81"
"1009","Cntn2"
"1010","Nfasc"
"1011","Gm10538"
"1012","Lrrn2"
"1013","Mdm4"
"1014","Pik3c2b"
"1015","Gm28609"
"1016","Ppp1r15b"
"1017","Plekha6"
"1018","Gm19461"
"1019","Golt1a"
"1020","Gm28040"
"1021","Kiss1"
"1022","Ren1"
"1023","Etnk2"
"1024","Sox13"
"1025","Snrpe"
"1026","Gm26706"
"1027","Zc3h11a"
"1028","Gm38394"
"1029","Zbed6"
"1030","Lax1"
"1031","Atp2b4"
"1032","Gm28441"
"1033","Optc"
"1034","Gm15851"
"1035","Prelp"
"1036","Gm1627"
"1037","Fmod"
"1038","Btg2"
"1039","Chit1"
"1040","Chil1"
"1041","Mybph"
"1042","Adora1"
"1043","Myog"
"1044","Ppfia4"
"1045","Tmem183a"
"1046","4933406M09Rik"
"1047","Cyb5r1"
"1048","Adipor1"
"1049","Platr1"
"1050","Klhl12"
"1051","Rabif"
"1052","Mgat4e"
"1053","Kdm5b"
"1054","Gm26783"
"1055","Syt2"
"1056","Ppp1r12b"
"1057","Gm28892"
"1058","Ube2t"
"1059","Lgr6"
"1060","Gm10535"
"1061","Ptpn7"
"1062","Arl8a"
"1063","Gm15445"
"1064","Gpr37l1"
"1065","Gm26642"
"1066","Elf3"
"1067","Rnpep"
"1068","Timm17a"
"1069","Lmod1"
"1070","Shisa4"
"1071","Ipo9"
"1072","Nav1"
"1073","Gm4793"
"1074","Gm38399"
"1075","Csrp1"
"1076","Phlda3"
"1077","Tnni1"
"1078","Lad1"
"1079","Tnnt2"
"1080","Pkp1"
"1081","Igfn1"
"1082","Tmem9"
"1083","Ascl5"
"1084","Cacna1s"
"1085","Gm37759"
"1086","Kif21b"
"1087","Mroh3"
"1088","5730559C18Rik"
"1089","Gm26568"
"1090","A430034D21Rik"
"1091","Gm37552"
"1092","Gm26781"
"1093","Gpr25"
"1094","Camsap2"
"1095","Ddx59"
"1096","Kif14"
"1097","Gm37799"
"1098","Gm33994"
"1099","4933409D19Rik"
"1100","Platr23"
"1101","Zfp281"
"1102","Gm19705"
"1103","Platr22"
"1104","Nr5a2"
"1105","Gm26979"
"1106","Gm26936"
"1107","A430106G13Rik"
"1108","Ptprc"
"1109","Gm28556"
"1110","Atp6v1g3"
"1111","Nek7"
"1112","Gm28501"
"1113","Gm5833"
"1114","Lhx9"
"1115","2310009B15Rik"
"1116","1700019P21Rik"
"1117","Dennd1b"
"1118","Crb1"
"1119","4933436E23Rik"
"1120","Gm34816"
"1121","Zbtb41"
"1122","Aspm"
"1123","F13b"
"1124","Cfhr1"
"1125","Gm4788"
"1126","Cfhr2"
"1127","Cfh"
"1128","Kcnt2"
"1129","4930590L20Rik"
"1130","Cdc73"
"1131","B3galt2"
"1132","Glrx2"
"1133","Trove2"
"1134","Uchl5"
"1135","Rgs2"
"1136","Rgs13"
"1137","Rgs1"
"1138","Rgs21"
"1139","Rgs18"
"1140","Gm29514"
"1141","Brinp3"
"1142","Gm15584"
"1143","Gm29515"
"1144","Gm29020"
"1145","Gm29398"
"1146","Pla2g4a"
"1147","Ptgs2"
"1148","Ptgs2os2"
"1149","Pdc"
"1150","2310030A07Rik"
"1151","BC003331"
"1152","Tpr"
"1153","Prg4"
"1154","Hmcn1"
"1155","Gm20631"
"1156","Gm29188"
"1157","C730036E19Rik"
"1158","Gm10138"
"1159","Ivns1abp"
"1160","Swt1"
"1161","Trmt1l"
"1162","Rnf2"
"1163","Gm28181"
"1164","Fam129a"
"1165","2810414N06Rik"
"1166","Edem3"
"1167","1700025G04Rik"
"1168","Gm28610"
"1169","Tsen15"
"1170","Colgalt2"
"1171","Rgl1"
"1172","Apobec4"
"1173","Arpc5"
"1174","Ncf2"
"1175","Smg7"
"1176","Nmnat2"
"1177","Gm28960"
"1178","Lamc2"
"1179","Lamc1"
"1180","Shcbp1l"
"1181","Dhx9"
"1182","Npl"
"1183","Rgs8"
"1184","Gm29529"
"1185","C230024C17Rik"
"1186","Rgs16"
"1187","Gm28513"
"1188","Rnasel"
